tab_caixasangria_id_caixasangria;tab_caixasangria_id_caixa;tab_caixasangria_id_entidade;tab_caixasangria_id_especie;tab_caixasangria_data;tab_caixasangria_valor;tab_caixasangria_obs;tab_caixasangria_conferido
194;23;2;1;"2025-01-23 13:53:55";50.00;GASOLINA;1
195;23;2;1;"2025-01-23 19:53:12";230.00;"FC+gabriel 80,00";1
196;23;2;4;"2025-01-23 19:57:06";350.00;Crédito;1
197;23;2;3;"2025-01-23 19:57:06";585.00;Débito;1
198;24;2;1;"2025-01-24 08:21:44";6.40;PAO;1
199;24;2;1;"2025-01-24 08:40:26";200.00;"DIESEL CAMINHAO";1
200;24;2;1;"2025-01-24 12:00:11";1400.00;FC;1
201;24;2;1;"2025-01-24 18:53:00";80.00;GABRIEL;1
202;24;2;4;"2025-01-24 20:09:40";1085.00;"Crédito 1205-120 não pagou pdv";1
203;24;2;3;"2025-01-24 20:09:40";360.00;Débito;1
204;25;2;1;"2025-01-25 12:43:13";2500.00;FC;1
205;25;2;1;"2025-01-25 16:12:46";6.40;PAO;1
206;25;2;1;"2025-01-25 18:55:41";80.00;GABRIEL;1
207;25;2;1;"2025-01-25 19:51:49";700.00;FC;1
208;25;2;4;"2025-01-25 19:56:13";120.00;Crédito;1
209;25;2;4;"2025-01-25 20:05:00";705.00;Crédito;1
210;25;2;3;"2025-01-25 20:05:00";590.00;Débito;1
211;26;2;1;"2025-01-26 11:04:28";1.60;PAO;1
212;26;2;1;"2025-01-26 13:24:05";80.00;"JOAO VITOR";1
213;26;2;1;"2025-01-26 13:58:39";600.00;FC;1
214;26;2;4;"2025-01-26 14:07:11";235.00;Crédito;1
215;26;2;3;"2025-01-26 14:07:11";235.00;Débito;1
216;27;2;1;"2025-01-27 08:19:02";6.40;PAO;1
217;27;2;1;"2025-01-27 11:12:03";1500.00;"COMPRA GAS";1
218;27;2;1;"2025-01-27 11:22:10";50.00;"GASOLINA MOTO FAN";1
219;27;2;1;"2025-01-27 14:05:45";700.00;FC;1
220;27;2;1;"2025-01-27 15:37:24";50.00;"GASOLINA YBR";1
221;27;2;1;"2025-01-27 18:35:02";20.00;"LIXA , LIMPA ALUMINIO PARA PRIVADA";1
222;27;2;1;"2025-01-27 19:01:14";80.00;GABRIEL;1
223;27;2;1;"2025-01-27 19:50:48";30.00;"GABRIEL FEZ PIX";1
224;27;2;4;"2025-01-27 20:13:41";585.00;Crédito;1
225;27;2;3;"2025-01-27 20:13:41";355.00;Débito;1
226;28;2;1;"2025-01-28 08:30:46";200.00;"caminhao diesel";1
227;28;2;1;"2025-01-28 08:31:03";6.40;PAO;1
228;28;2;1;"2025-01-28 11:44:37";1600.00;FC;1
229;28;2;1;"2025-01-28 11:47:56";40.00;"CABO DE VELOCIMETRO MOTO FAN";1
230;28;2;1;"2025-01-28 12:30:57";25.00;"GABRIEL FEZ PIX";1
231;28;2;1;"2025-01-28 16:52:48";25.00;"ROLAMENTO DA COROA";1
