tab_contasapagar_id_contasapagar;tab_contasapagar_id_contasapagarsetor;tab_contasapagar_id_entidade;tab_contasapagar_datacad;tab_contasapagar_descricao;tab_contasapagar_vencimento;tab_contasapagar_valor;tab_contasapagar_datapago;tab_contasapagar_valorpago;tab_contasapagar_obs
77;8;1;"2025-01-11 18:44:08";Pão;"2025-01-11 00:00:00";8.00;"2025-01-11 00:00:00";8.00;
78;4;1;"2025-01-11 18:44:30";"Combustível Strada";"2025-01-11 00:00:00";50.00;"2025-01-11 00:00:00";50.00;
79;4;1;"2025-01-11 18:45:27";"Gasolina Moto 10,19 Litros";"2025-01-11 00:00:00";61.00;"2025-01-11 00:00:00";61.00;
80;5;1;"2025-01-11 18:45:46";"Dia moto Gabriel";"2025-01-10 00:00:00";80.00;"2025-01-10 00:00:00";80.00;
81;5;1;"2025-01-11 18:49:03";"Dia Moto Gabriel";"2025-01-09 00:00:00";80.00;"2025-01-09 00:00:00";80.00;
82;8;1;"2025-01-11 18:50:43";Pão;"2025-01-11 00:00:00";6.40;"2025-01-11 00:00:00";6.40;
83;5;1;"2025-01-11 19:20:38";"Dia moto Gabriel";"2025-01-11 00:00:00";80.00;"2025-01-11 00:00:00";80.00;
86;8;1;"2025-01-13 09:49:14";Pão;"2025-01-12 00:00:00";2.40;"2025-01-12 00:00:00";2.40;
87;4;1;"2025-01-13 09:49:33";"Restauração 3 polos bateria caminhão";"2025-01-12 00:00:00";150.00;"2025-01-12 00:00:00";150.00;
88;5;1;"2025-01-13 09:50:15";"Dia moto Gabriel";"2025-01-12 00:00:00";80.00;"2025-01-12 00:00:00";80.00;
89;5;1;"2025-01-13 19:02:02";"Prolabore Monique Josuel";"2025-01-20 00:00:00";2000.00;"2025-01-20 00:00:00";2000.00;
90;7;2;"2025-01-13 19:49:18";"250 botijões com gás";"2025-01-21 00:00:00";19830.00;"2025-01-20 00:00:00";19830.00;
92;4;1;"2025-01-14 15:37:43";"Conserto escapamento Strada";"2025-01-14 00:00:00";120.00;"2025-01-14 00:00:00";120.00;
93;9;2;"2025-01-14 19:27:05";"Brindes 01 de 03";"2025-02-14 00:00:00";476.67;"2025-02-10 00:00:00";476.67;
94;9;2;"2025-01-14 19:28:10";"Brindes 02 de 03";"2025-03-14 00:00:00";476.67;"2025-03-10 00:00:00";476.67;
95;9;2;"2025-01-14 19:28:48";"Brinde 03 de 03";"2025-04-14 00:00:00";476.66;"2025-03-17 00:00:00";476.66;
98;7;2;"2025-01-16 14:05:14";"300 botijões de gás";"2025-01-24 00:00:00";23796.00;"2025-01-23 00:00:00";23796.00;
99;4;1;"2025-01-16 18:49:04";"Gasolina moto";"2025-01-16 00:00:00";61.00;"2025-01-16 00:00:00";61.00;
100;8;1;"2025-01-16 18:49:53";Pão;"2025-01-15 00:00:00";6.40;"2025-01-15 00:00:00";6.40;
101;4;1;"2025-01-16 18:50:07";"Gasolina Strada";"2025-01-15 00:00:00";50.00;"2025-01-15 00:00:00";50.00;
102;6;1;"2025-01-16 18:50:30";"Caderno anotação";"2025-01-15 00:00:00";12.90;"2025-01-15 00:00:00";12.90;
103;5;1;"2025-01-16 18:50:44";"Dia Moto Gabriel";"2025-01-15 00:00:00";80.00;"2025-01-15 00:00:00";80.00;
104;8;1;"2025-01-16 18:51:12";Pão;"2025-01-14 00:00:00";8.80;"2025-01-14 00:00:00";8.80;
105;6;1;"2025-01-16 18:51:25";Cola;"2025-01-14 00:00:00";9.90;"2025-01-14 00:00:00";9.90;
106;5;1;"2025-01-16 18:51:43";"Dia moto gabriel";"2025-01-14 00:00:00";80.00;"2025-01-14 00:00:00";80.00;
107;5;1;"2025-01-16 18:52:34";"Dia moto gabriel";"2025-01-13 00:00:00";80.00;"2025-01-13 00:00:00";80.00;
108;6;1;"2025-01-16 18:52:56";"Cópia da chave janelinha venda gás";"2025-01-13 00:00:00";10.00;"2025-01-13 00:00:00";10.00;
109;8;1;"2025-01-16 18:53:07";Pão;"2025-01-13 00:00:00";6.40;"2025-01-13 00:00:00";6.40;
