tab_vendaitem_id_vendaitem;tab_vendaitem_id_venda;tab_vendaitem_id_entidade;tab_vendaitem_id_produto;tab_vendaitem_id_produtotipo;tab_vendaitem_qtd;tab_vendaitem_preco;tab_vendaitem_desconto;tab_vendaitem_estornado;tab_vendaitem_obs;tab_vendaitem_complemento;tab_vendaitem_composicao
1;449;2;1;1;10.000;85.00;0.00;0;;;
1;450;2;1;1;3.000;90.00;0.00;0;;;
1;451;2;1;1;3.000;87.00;0.00;0;;;
1;452;2;1;1;2.000;105.00;0.00;0;"1 jd olga, 1 jd rosas";;
1;453;2;1;1;1.000;115.00;0.00;0;;;
1;454;2;1;1;5.000;85.00;0.00;0;;;
1;455;2;1;1;1.000;85.00;0.00;0;;;
1;456;2;1;1;1.000;115.00;0.00;0;;;
1;457;2;1;1;1.000;90.00;0.00;0;;;
1;458;2;1;1;1.000;115.00;0.00;0;;;
1;459;2;1;1;2.000;85.00;0.00;0;;;
1;460;2;1;1;2.000;109.00;0.00;0;;;
1;461;2;1;1;1.000;85.00;0.00;0;;;
1;462;2;1;1;1.000;115.00;0.00;0;;;
1;463;2;1;1;1.000;115.00;0.00;0;;;
1;464;2;5;1;1.000;0.00;0.00;0;;;
1;465;2;1;1;1.000;115.00;0.00;0;;;
1;466;2;1;1;1.000;85.00;0.00;0;;;
1;467;2;1;1;1.000;115.00;0.00;0;;;
1;468;2;1;1;1.000;115.00;0.00;0;;;
1;469;2;1;1;3.000;95.00;0.00;0;;;
1;471;2;1;1;1.000;115.00;0.00;0;;;
1;472;2;1;1;1.000;115.00;0.00;0;;;
1;475;2;1;1;1.000;115.00;0.00;0;;;
1;476;2;1;1;1.000;85.00;0.00;0;;;
1;477;2;1;1;1.000;115.00;0.00;0;;;
1;478;2;1;1;1.000;115.00;0.00;0;;;
1;480;2;1;1;1.000;115.00;0.00;0;;;
1;481;2;1;1;1.000;115.00;0.00;1;;;
1;482;2;1;1;1.000;115.00;0.00;0;;;
1;483;2;1;1;2.000;94.00;0.00;0;;;
1;484;2;1;1;21.000;85.00;0.00;0;;;
1;485;2;1;1;13.000;85.00;0.00;0;;;
1;486;2;1;1;17.000;85.00;0.00;0;;;
1;487;2;1;1;8.000;85.00;0.00;0;;;
1;488;2;1;1;2.000;85.00;0.00;0;;;
1;489;2;1;1;1.000;90.00;0.00;0;;;
1;490;2;1;1;1.000;85.00;0.00;0;;;
1;491;2;1;1;2.000;85.00;0.00;0;;;
1;492;2;1;1;1.000;85.00;0.00;0;;;
1;493;2;1;1;1.000;115.00;0.00;0;;;
1;494;2;1;1;2.000;85.00;0.00;0;;;
1;495;2;1;1;1.000;115.00;0.00;0;;;
1;496;2;1;1;1.000;85.00;0.00;0;;;
1;497;2;1;1;1.000;86.00;0.00;0;;;
1;498;2;1;1;1.000;85.00;0.00;0;;;
1;499;2;1;1;1.000;115.00;0.00;0;;;
1;500;2;1;1;1.000;115.00;0.00;0;;;
1;501;2;1;1;2.000;86.00;0.00;0;;;
1;502;2;1;1;1.000;110.00;0.00;0;;;
1;503;2;1;1;1.000;115.00;0.00;0;;;
1;504;2;1;1;1.000;90.00;0.00;0;;;
1;505;2;1;1;1.000;115.00;0.00;0;;;
1;506;2;1;1;3.000;103.00;0.00;0;;;
1;507;2;1;1;1.000;115.00;0.00;0;;;
1;508;2;1;1;1.000;115.00;0.00;0;;;
1;509;2;1;1;1.000;115.00;0.00;0;;;
1;510;2;1;1;1.000;115.00;0.00;0;;;
1;511;2;1;1;1.000;100.00;0.00;0;;;
1;512;2;1;1;1.000;115.00;0.00;0;;;
1;513;2;1;1;1.000;115.00;0.00;0;;;
1;515;2;1;1;1.000;115.00;0.00;0;;;
1;516;2;1;1;1.000;115.00;0.00;0;;;
1;517;2;9;2;45.000;85.00;0.00;0;;;
1;518;2;9;2;10.000;85.00;0.00;0;;;
1;519;2;9;2;30.000;85.00;0.00;0;;;
1;520;2;9;2;5.000;85.00;0.00;0;;;
1;521;2;9;2;1.000;95.00;0.00;0;;;
1;522;2;9;2;1.000;85.00;0.00;1;;;
1;523;2;9;2;3.000;85.00;0.00;0;;;
1;524;2;9;2;10.000;85.00;0.00;0;;;
1;526;2;4;1;20.000;0.00;0.00;0;;;
1;527;2;4;1;25.000;0.00;0.00;0;;;
1;528;2;9;2;4.000;85.00;0.00;0;;;
1;530;2;1;1;1.000;115.00;0.00;0;;;
1;531;2;9;2;2.000;87.00;0.00;0;;;
1;532;2;9;2;1.000;86.00;0.00;0;;;
1;533;2;1;1;1.000;115.00;0.00;0;;;
1;534;2;1;1;1.000;90.00;0.00;0;;;
1;535;2;9;2;1.000;86.00;0.00;0;;;
1;536;2;1;1;1.000;115.00;0.00;0;;;
1;537;2;5;1;1.000;0.00;0.00;0;;;
1;538;2;9;2;1.000;86.00;0.00;0;;;
